"1/07/2023","veterinaria perro", 2 en calle 2
"2/07/2023","Veterinaria perro1", 2 en calle 32
"3/07/2023","Veterinaria aca", 6 en calle 4
"4/07/2023","Veterinaria dda", 8 en calle 5
"5/07/2023","Veterinaria dll", 3 en calle 6
"6/07/2023","amigos de exe", 3 en calle 7
"7/07/2023","Veterinaria dda", 8 en calle 5
"8/07/2023","veterinaria perro", 2 en calle 2
"9/07/2023","Veterinaria perro1", 2 en calle 3
"10/07/2023","Veterinaria aca", 6 en calle 8
"11/07/2023","veterinaria perro", 2 en calle 2
"12/07/2023","Veterinaria perro1", 2 en calle 3
"13/07/2023","Veterinaria aca", 6 en calle 88
"14/07/2023","Veterinaria dda", 8 en calle 5
"15/07/2023","Veterinaria dll", 3 en calle 5
"16/07/2023","amigos de exe", 3 en calle 56
"17/07/2023","Veterinaria dda", 8 en calle 66
"18/07/2023","veterinaria perro", 2 en calle 2
"19/07/2023","Veterinaria perro1", 2 en calle 3
"20/07/2023","Veterinaria aca", 6 en calle 6
"21/07/2023","veterinaria perro", 2 en calle 2
"22/07/2023","Veterinaria perro1", 2 en calle 3
"23/07/2023","Veterinaria aca", 6 en calle 2
"24/07/2023","Veterinaria dda", 8 en calle 1
"25/07/2023","Veterinaria dll", 3 en calle 66
"26/07/2023","amigos de exe", 3 en calle 2
"27/07/2023","Veterinaria dda", 8 en calle 2
"28/07/2023","veterinaria perro", 2 en calle 2
"29/07/2023","Veterinaria perro1", 2 en calle 3
"30/07/2023","Veterinaria aca", 6 en calle 2
"31/07/2023","Veterinaria dda", 8 en calle 5